party,value,year
Wahlbeteiligung,57.9488,1994
SPD,47.3509,1994
CDU,19.5045,1994
DIE LINKE,18.6743,1994
GRÜNE,6.86604,1994
FDP,2.38375,1994
AfD,x,1994
Sonstige,5.22049,1994
Sonstige,5.55988,1998
AfD,x,1998
FDP,1.50502,1998
GRÜNE,8.15579,1998
DIE LINKE,24.3142,1998
CDU,20.3682,1998
SPD,40.097,1998
Wahlbeteiligung,50.6445,1998
Wahlbeteiligung,43.9404,2005
SPD,67.1485,2005
CDU,9.79676,2005
DIE LINKE,15.8019,2005
GRÜNE,x,2005
FDP,2.36957,2005
AfD,x,2005
Sonstige,4.88334,2005
Sonstige,4.06388,2006
AfD,x,2006
FDP,x,2006
GRÜNE,6.07805,2006
DIE LINKE,15.542,2006
CDU,32.6738,2006
SPD,41.6423,2006
Wahlbeteiligung,34.8769,2006
Wahlbeteiligung,40.6814,2013
SPD,40.2487,2013
CDU,25.939,2013
DIE LINKE,15.343,2013
GRÜNE,9.78967,2013
FDP,1.82016,2013
AfD,x,2013
Sonstige,6.85942,2013
Sonstige,3.29365,2020
AfD,8.65547,2020
FDP,1.19408,2020
GRÜNE,11.9805,2020
DIE LINKE,13.5312,2020
CDU,31.575,2020
SPD,29.7701,2020
Wahlbeteiligung,49.0598,2020
